OBJECTID,Program,PROJIS,Notes,TFPC,Subregion,Municipality,Project Proponent,Project Name,MPO Evaluation Score,Year Programmed,Highway Division,Adjusted TFPC,Funding 2025,Funding 2026,Funding 2027,Funding 2028,Funding 2029,Funding Other,Funding Notes,Associated TIPs,Infrastructure or Service,Project Type,Year Added to Universe,Date of Last Update,Flag for Retirement?,Programmed Cost,Advertise Date,Programmed?,Origin Date,GlobalID,Geometry Notes,To_Score,Design Status,Version Last Updated,Shape__Length,CreationDate,Creator,EditDate,Editor,Response
107,Roadway Reconstruction,S13015,"Resulted from FFY 2012 Addressing Priority Corridors MPO Study.  Entirety of Gallivan.  A portion of this corridor is included in project 610650 for Safety Improvements, and is funded in FFY 2027 of the Statewide Highway Program.","$80,000,000",ICC,Boston,MassDOT,"Reconstruction of Gallivan Boulevard (Route 203), from Neponset Circle to East of Morton Street Intersection",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2018,,,N/A,,N,8/20/2024 12:00:00 AM,d6bf7525-e388-4811-b85a-3b1e9ea6dc80,,,PRC Approved,0.1,4484.12147849166,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
108,Roadway Reconstruction,S13059,PNF submitted (12/27/16),$-,NSTF,Manchester-by-the-Sea,Manchester-by-the-Sea,Pine Street - Central Street (Route 127) to Rockwood Heights Road,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2017 or earlier,,,N/A,,N,8/20/2024 12:00:00 AM,b26493a0-167d-4bcc-999e-4294fc3c21c0,,,Preliminary Design,0.1,2112.69170673654,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
109,Transit Grant Program,S13058,Significant paratransit consideration.  Losing Merrimack Valley interdistrict service as North Reading falls between the MBTA and MVRTA.,$-,NSPC,North Reading,North Reading,North Reading Human Services Transportation,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Service,Community Connections,2022,,,N/A,,N,8/20/2024 12:00:00 AM,067c84f6-6240-4a6a-897c-d2ebda90e8c9,linked geometry: north reading,,N/A,0.1,384.317649155241,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
110,Bicycle and Pedestrian,S13057,,$-,NSPC,"Stoneham, Wakefield","Stoneham, Wakefield",Mystic Highlands Greenway Project,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,,,N/A,,N,8/20/2024 12:00:00 AM,f59c143e-6c30-47ad-b726-a813de1c97a2,,,Preliminary Design,0.1,30881.355790457,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
111,Intersection Improvements,S13056,Project at conceptual stage.,$-,NSPC,Stoneham,Stoneham,"STONEHAM- Intersection Improvements at Main Street (Route 28), Franklin Street, and Central Street",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2020,,,N/A,,N,8/20/2024 12:00:00 AM,67e35001-460c-49cb-9b9f-dece0f897932,,,Preliminary Design,0.1,189.202107039475,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
112,Roadway Reconstruction,S13055,,$-,NSPC,Winchester,Winchester,WINCHESTER- Town Center Complete Streets Improvements,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,,,N/A,,N,8/20/2024 12:00:00 AM,69e78466-bd5d-4fbe-982e-3c6ab622561b,,,Preliminary Design,0.1,1952.86281935868,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
113,Roadway Reconstruction,S13054,,$-,NSPC,Stoneham,Stoneham,"STONEHAM- Reconstruction of South Main Street, from Town Center to South Street",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,,,N/A,,N,8/20/2024 12:00:00 AM,1627e529-f474-42d6-a421-eb52ca14c527,,,Preliminary Design,0.1,1490.27284073626,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
114,Roadway Reconstruction,S13053,Project at conceptual stage.,"$8,000,000",NSPC,Reading,Reading,Reading Downtown Improvement Project,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,,,N/A,,N,8/20/2024 12:00:00 AM,cab2c316-6dc1-4e31-a925-e76bba13b1da,,,Preliminary Design,0.1,2195.27188352696,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
115,Intersection Improvements,613878,Added through subregional outreach. Was S13051.,"$7,757,316",MWRC,Weston,Weston,Intersection Improvements at Route 20 and Highland Street,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2021,10/02/2024,,N/A,2029,Scoring,8/20/2024 12:00:00 AM,94e34887-e795-4a50-abb9-4ca01de4e05c,,Yes,PRC Approved,0.1,203.223689536951,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
116,Roadway Reconstruction,604862,High priority for District 3,$-,SWAP,Bellingham,MassDOT,"BELLINGHAM- RAMP CONSTRUCTION & RELOCATION, I-495 AT ROUTE 126 (HARTFORD AVENUE)",N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2017 or earlier,12/14/2006,,N/A,,N,12/14/2006 12:00:00 AM,7bc06dd6-7e01-4565-aea5-d76e0bb1aa59,,,PRC Approved,0.1,2937.95026717836,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
117,Bridge Inspections,612978,"Historic-eligible, needs replacement as it is 1850's era.  Dover awarded an earmark to design.","$12,953,780",TRIC,"Dover, Needham","Dover, Needham","Bridge Replacement, D-10-003=N-04-008, Centre Street over the Charles River",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,09/15/2022,,N/A,,N,9/15/2022 12:00:00 AM,3c3ea25f-07c4-4b49-8bed-78c069ed0c35,,,PRC Approved,0.1,107.081239711408,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
118,Bicycle and Pedestrian,608948,Project may be completed by DCR.,"$1,714,186",SWAP,"Bellingham, Franklin","Bellingham, Franklin",Southern New England Trunkline Trail Construction,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,05/12/2020,,N/A,,N,5/12/2020 12:00:00 AM,3d9abc96-e53e-4db1-9897-6a1631d0a8e1,,,25% Design,0.1,7547.58083532213,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
119,Capacity,606109,"Subject of an FFY23 RCN design grant submission.  Included in Destination 2050 LRTP.
Funded in FFY 2026 for Design. To be scored in FFY 2026-30 TIP.","$115,000,000",MWRC,Framingham,Framingham,FRAMINGHAM- INTERSECTION IMPROVEMENTS @ ROUTE 126/135/MBTA & CSX RAILROAD,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2019,05/13/2010,,N/A,,N,5/13/2010 12:00:00 AM,e605a61a-f10a-4e3a-9e44-a0b7836d8d0b,,,PRC Approved,0.1,248.489013446353,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
120,Roadway Reconstruction,S13060,Project at conceptual stage.,"$800,000",NSTF,Wenham,Wenham,Roadway Reconstruction on Larch Row and Dodges Row,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2019,,,N/A,,N,8/20/2024 12:00:00 AM,73d06223-e78b-496d-8442-7cdbc815ff1f,,,Preliminary Design,0.1,4464.66427551425,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
121,Roadway Reconstruction,612614,This project reconstructs Route 138 from Randolph Street to the Stoughton Town Line.  It includes sidewalks and bicycle accommodations.,"$24,687,600",TRIC,Canton,MassDOT,Roadway Reconstruction and Related Work on Route 138,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,02/10/2022,,N/A,,N,2/10/2022 12:00:00 AM,5099a390-97dc-4e4a-ae08-5b79d13e23a3,,,PRC Approved,0.1,9353.04985572892,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
122,Roadway Reconstruction,610702,"MassDOT agreed to fund design after 25% design approved. As of October 2022, the project remains in preliminary design.","$3,120,110",MAGIC,Littleton,Littleton,LITTLETON- INTERSECTION IMPROVMENTS AT ROUTE 119 (GREAT ROAD) AND BEAVER BROOK ROAD,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2020,04/30/2020,,N/A,,N,4/30/2020 12:00:00 AM,0d9abc12-1dd3-4516-b7e4-ba0f22991fdc,,,PRC Approved,0.1,165.909620829567,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
123,Roadway Reconstruction,613712,,"$11,902,600",ICC,Winthrop,Winthrop,"WINTHROP- ROADWAY RECONSTRUCTION ON MAIN STREET, FROM WINTHROP STREET TO THE BOSTON TOWN LINE",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2024,05/31/2024,,N/A,,N,5/31/2024 12:00:00 AM,a58301da-82a2-475c-b880-477276a09868,,,PRC Approved,0.1,997.105674778638,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
124,Roadway Reconstruction,609290,Short-term improvements being initiated.,"$7,000,000",ICC,Cambridge,DCR,"CAMBRIDGE- INTERSECTION IMPROVEMENTS AT FRESH POND PARKWAY/GERRYS LANDING ROAD, FROM BRATTLE STREET TO MEMORIAL DRIVE",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2019,12/06/2018,,N/A,,N,12/6/2018 12:00:00 AM,895d5191-7bbf-4564-a4f8-211b751713de,,,PRC Approved,0.1,2501.32066371727,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
125,Roadway Reconstruction,608497,25% design anticipated July 2022.,"$9,832,500",SWAP,Wrentham,Wrentham,WRENTHAM- CORRIDOR IMPROVEMENTS ON ROUTE 1,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,02/12/2016,,N/A,,N,2/12/2016 12:00:00 AM,eeb99685-eeed-4444-ac7b-82d8e9817b78,,,PRC Approved,0.1,4243.07447841678,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
126,Safety Improvements,609315,,"$2,135,440",NSTF,Essex,Essex,ESSEX- RESURFACING AND TARGETED SAFETY IMPROVEMENTS ON ROUTE 133 (JOHN WISE AVENUE),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2019,04/18/2019,,N/A,,N,4/18/2019 12:00:00 AM,9af009de-a5cd-4a1c-bc10-8891239ccfe3,,,PRC Approved,0.1,3649.10353186563,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
127,Bridge Inspections,612947,"Per 10.11 email with C Quigley, the project received a PRC and a PROJIS ID in September 2022 after a PNF was submitted 8/2022.","$4,453,950",NSTF,Marblehead,Marblehead,MARBLEHEAD- VILLAGE STREET BRIDGE REPLACEMENT M-04-001,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2019,09/15/2022,,N/A,,Scoring,9/15/2022 12:00:00 AM,65bb8dca-f4ee-4c7e-ad85-40eb9c8fc38f,,Yes,PRC Approved,0.1,38.3257037176005,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,https://docs.google.com/spreadsheets/d/1XmOQNdiiucoXcieVkf2Czz-21iyfsqBCv0X2_ndaN14/edit?usp=sharing
128,Bicycle and Pedestrian,S13029,akoumoutsos@tooledesign.com reached out 3/16/2023 to discuss initiation and funding through MassDOT,$-,ICC,Belmont,Belmont,Belmont Community Path Phase 2,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2023,,,N/A,,N,8/20/2024 12:00:00 AM,1e3fc09c-02a0-458f-8c9c-7a8ba813615d,,,Preliminary Design,0.1,1526.51871367923,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
129,Intersection Improvements,612740,Added through subregional outreach. Town has advanced design outside of TIP process. District supports project.  Budget has increased from original $5M estimate in 2021.,"$11,902,600",TRIC,Foxborough,Foxborough,FOXBOROUGH- INTERSECTION IMPROVEMENTS AT ROUTE 140/WALNUT STREET AND ROUTE 140/I-95 (SB RAMP),N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2021,05/12/2022,,N/A,,N,5/12/2022 12:00:00 AM,4032ddfc-9029-41ca-b53f-4162bf2c2347,,,PRC Approved,0.1,2125.89811980849,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
130,Roadway Reconstruction,613144,"In 2022, the project received PRC approval for a design-only contract.  The project may seek funding through the TIP.  The project has expanded to be an interchange reconstruction, and the Hartwell Avenue component may emerge separately.  The estimated construction cost for this project is likely to increase.Preliminary design funding for this project is programmed in FFY 2026.","$150,000",MAGIC,Lexington,Lexington,LEXINGTON- SAFETY IMPROVEMENTS AT ROUTE I-95 AND ROUTE 4/225 INTERCHANGE (DESIGN ONLY),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2019,12/20/2022,,N/A,,N,12/20/2022 12:00:00 AM,b416640d-ee1c-4003-b101-318ec7ae0314,,,PRC Approved,0.1,5261.04480413009,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
131,Roadway Reconstruction,S13026,"Project at conceptual stage with schematics, needs full design - investigating roundabout.  Key East/West connection.",,ICC,Revere,Revere,"Reconstruction of Ocean Ave, Revere Street, and Revere Beach Boulevard",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,,,N/A,,N,8/20/2024 12:00:00 AM,340707cb-4f14-428c-a040-ce214156ea9d,,,Preliminary Design,0.1,8650.48332843224,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
132,Bicycle and Pedestrian,611932,,"$1,750,700",SWAP,Hopkinton,Hopkinton,"Campus Trail Connector, Shared Use Trail Construction",N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2020,09/24/2020,,N/A,,N,9/24/2020 12:00:00 AM,a1941e62-03de-461d-924b-52c03ce4b524,,,PRC Approved,0.1,2818.66068897657,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
133,Roadway Reconstruction,S13025,,$-,ICC,Newton,Newton,"Reconstruction of Washington Street, from Church Street to Chestnut Street",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,,,N/A,,N,8/20/2024 12:00:00 AM,7157ed86-dea5-4523-b397-da66ff9cff2a,,,Preliminary Design,0.1,3004.22974764561,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
134,Roadway_Improvements,613818,Phase 3: formerly part of S13024,"$8,176,241.40",ICC,Malden,Malden,"MALDEN- IMPROVEMENTS ON CENTRE STREET (ROUTE 60), FROM PEARLS STREET TO FRANKLIN STREET (PHASE 3)",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2024,10/02/2024,,N/A,,N,8/20/2024 12:00:00 AM,d47352d2-33eb-423a-a0fd-58470dcaca71,,,PRC Approved,0.1,2890.44416598526,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
135,Roadway Reconstruction,S13023,Evaluated for design funding for FFY 2025-29 TIP. Continuation of concept that Medford recently completed on Rivers Edge Drive.,"$7,250,000",ICC,Malden,Malden,Commercial Street Reconstruction (Centre Street to Medford City Line),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2024,,,N/A,,N,8/20/2024 12:00:00 AM,b77c4673-9f67-444d-9adf-1e88fd4157cf,,,Preliminary Design,0.1,1437.41757895389,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
136,Capacity,87790,"Project not programmed in Destination 2040. It is on a regionally-significant roadway and adds roadway capacity. If programmed in the TIP, this project would also need to be included in Destination 2050.Last scored for FFYs 2020-24 TIP. Regional priority, potential discretionary grant project via MassDOT for State Highway funding.",$-,TRIC,"Canton, Westwood",MassDOT,CANTON- DEDHAM- NORWOOD- INTERCHANGE IMPROVEMENTS AT I-95/I-93/UNIVERSITY AVENUE/I-95 WIDENING INCLUDING 10 BRIDGES AND 9 MULTI-USE PATH/PEDESTRIAN BRIDGES,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2017 or earlier,07/14/2014,,N/A,,N,8/11/2011 12:00:00 AM,3e8ac656-18a6-4671-935c-c038e20146bc,,,25% Design,0.1,11984.6599915959,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
137,Intersection Improvements,S13069,Added through subregional outreach.,$-,SSC,Hull,Hull,HULL- Intersection Improvements at George Washington Boulevard and Barnstable Road/ Logan Avenue,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2021,,,N/A,,N,8/20/2024 12:00:00 AM,7419c53b-b880-489a-9671-f6feca6766eb,,,Preliminary Design,0.1,199.559829604111,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
138,Roadway Reconstruction,611975,"Ipswich DPW noted that a bridge within the project limits has had a lane closed by MassDOT.  Structure IDs are I01005, main concern is Ipswich - 2PN which is an 1861-built historic stone arch mill bridge.  Currently functioning as a one-way.  Town had approached as a traffic safety project with the bridge as a focal point.  Pier degradation and cracking.  Structure is under evaluation for a statewide bridge preservation contract.","$5,653,500",NSTF,Ipswich,Ipswich,IPSWICH- ROADWAY IMPROVEMENTS ON COUNTY STREET INCLUDING REHABILITATION OF BRIDGE I-01-005,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,01/28/2021,,N/A,,N,1/28/2021 12:00:00 AM,4030e773-a3f4-4f36-9d08-be7b2c53dc17,,,PRC Approved,0.1,919.296559866238,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
139,Non-Interstate Pavement,607707,Still in preliminary design.,"$2,300,000",NSTF,"Beverly, Manchester-by-the-Sea",MassDOT,Resurfacing and Related Work on Route 127,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2018,10/01/2013,,N/A,,N,10/1/2013 12:00:00 AM,99c7167c-6e1a-41bd-910b-f1a0ee2da3cd,,,PRC Approved,0.1,17217.6826224278,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
140,Roadway Reconstruction,S13021,Potential PROTECT grant candidate based on discussion between MPO Staff and City in 2024. Recent issues with sidewalks collapsing due to erosion.,$-,ICC,Chelsea,Chelsea,Reconstruction of Marginal Street,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2019,,,N/A,,N,8/20/2024 12:00:00 AM,8bdf4751-2fab-4b3d-8dc9-3d9b201fbce8,,,Preliminary Design,0.1,1389.81023559434,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
141,Roadway Reconstruction,613585,"Applying for 2026-30 TIP for $13,729,343. Silver Line connection for pedestrian and bike.  Includes sidewalk extension and ADA ramp reconstruction.  Pavement reconstruction as well.","$5,654,870",ICC,"Chelsea, Everett",Everett,"Reconstruction of Vine Street and Third Street, from Chelsea Street to MBTA Station",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,10/12/2023,,N/A,,Scoring,10/12/2023 12:00:00 AM,8e2b5cc5-43dc-45f0-97e7-e64f27510cdb,,Yes,PRC Approved,0.1,1329.59863756653,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,https://docs.google.com/spreadsheets/d/1XmOQNdiiucoXcieVkf2Czz-21iyfsqBCv0X2_ndaN14/edit?usp=sharing
142,Intersection Improvements,S13068,Added through subregional outreach.,$-,SSC,Cohasset,Cohasset,COHASSET- Intersection Improvements at Route 3A and King Street,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2021,,,N/A,,N,8/20/2024 12:00:00 AM,0a8e6ca1-3b51-4d90-ac05-1dd216fc55ff,,,Preliminary Design,0.1,111.473384901988,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
143,Roadway Reconstruction,S13020,Seeking funding for project design.,$-,ICC,Chelsea,Chelsea,Hawthorne Street Redesign (Park Street to Bellingham Street),N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,,,N/A,,N,8/20/2024 12:00:00 AM,f8452cbc-1e2e-4a05-914c-7900d60b05c3,,,Preliminary Design,0.1,286.033288482073,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
144,Intersection Improvements,610676,RSA done in 2022,"$2,649,000",SWAP,Wrentham,Wrentham,WRENTHAM- INTERSECTION IMPROVEMENTS ON ROUTE 1A AT NORTH AND WINTER STREET,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2020,08/23/2024,,N/A,,N,12/19/2019 12:00:00 AM,1c428bc3-a672-48b6-b0a8-3e8e31b6809c,,,25% Design,0.1,204.559723135463,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
145,Bicycle and Pedestrian,S13064,"Design earmark currently programmed, construction will follow.","$140,000",NSTF,Marblehead,Marblehead,MARBLEHEAD- B2B Bikeway  - Marblehead Rail Trail,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2022,,,N/A,,N,8/20/2024 12:00:00 AM,7990fe8f-f1b0-4793-9e54-21eac841c064,,,Preliminary Design,0.1,5162.00723969337,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
146,Bridge Inspections,613592,Bridge replacement project only,"$5,593,494",NSTF,Salem,Salem,"TOPSFIELD- BRIDGE REPLACEMENT, T-06-016, ON SALEM ROAD OVER THE IPSWICH RIVER",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,10/12/2023,,N/A,,N,10/12/2023 12:00:00 AM,9c78514e-cde1-4dbb-a9ce-ea4c703dfca9,,,PRC Approved,0.1,59.6560437195363,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
147,Bicycle and Pedestrian,S13063,MVP grant issued for project design. Includes elements of the Harmony Grove Path and the Independence Greenway to the west.  Gap remains between Mt Vernon Street and Endicott Street.,$-,NSTF,"Peabody, Salem","Peabody, Salem",Riverwalk Project,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,,,N/A,,N,8/20/2024 12:00:00 AM,fcc68b0d-b473-4090-9c00-49a413ebaae7,,,Preliminary Design,0.1,749.300074353559,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
148,Bicycle and Pedestrian,612870,"Project was originally a new Pedestrian Bridge with a $2-3.6M price range.  Scope has increased to include improvements for a multi-use trail alongside the bridge.  Cost has increased accordingly, and is now in preliminary design. Municipality applied for Reconnecting Communities Funding for work.Project location runs between the West Concord MBTA Station and the Concord Meadows Corporate Center with a connection to the Southern Terminus of the Bruce Freeman.","$8,280,000",MAGIC,Concord,Concord,Assabet River Multi-Use Trail and Bridge Construction,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2020,08/29/2022,,N/A,,N,8/29/2022 12:00:00 AM,4e42b23d-e6ed-4ae4-b8c1-4538cef9fd1c,,,PRC Approved,0.1,304.124492596301,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
149,Roadway Reconstruction,612536,"Applying for 2026-30 TIP for $13,600,000, more than in PINFO. 5 ft sidewalks will be constructed, at minimum, along with curb ramps, high viz crosswalks, and accessible bus boarding areas. Raised bike lanes are proposed for the majority of project limits, with on-road bike lanes instead for about a fifth of the project length in order to retain street trees. This project will connect to recently completed 606635.","$10,402,402",TRIC,Needham,Needham,"NEEDHAM- RECONSTRUCTION OF HIGHLAND AVENUE, FROM WEBSTER STREET TO GREAT PLAINS AVENUE",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,10/21/2021,,N/A,,Scoring,10/21/2021 12:00:00 AM,8ad5ed54-fff4-41f1-988f-8c3503a377b4,,Yes,PRC Approved,0.1,2070.75431537973,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,https://docs.google.com/spreadsheets/d/1XmOQNdiiucoXcieVkf2Czz-21iyfsqBCv0X2_ndaN14/edit?usp=sharing
150,Intersection Improvements,S13062,"Project conceptual, design candidate.  Possible roundabout.","$4,000,000",NSTF,Swampscott,Swampscott,SWAMPSCOTT- Humphrey Street at Atlantic Avenue,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,,,N/A,,N,8/20/2024 12:00:00 AM,9ae7c278-a31a-465b-9ca3-f414a7a0e702,,,Preliminary Design,0.1,487.237595891762,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
